sample_id,whole_cell_average_intensity,nuc_tau_intensity_at_body,cyto_tau_intensity_at_body,tau_intensity_of_bundle,tau_intensity_of_a_single_filament,nuc_cyto_ratio,single_filament_cyto_ratio,single_filament_bundle_ratio,tau_continuity,bundle_width,single_filament_number,droplet_number,all_droplet_size,droplet_intensity
sr_P301LandS320F_1,164.04293823242188,246.88818359375,128.253662109375,216.63372802734372,261.1549987792969,1.961592589842236,1.7123953269675083,0.608086714140263,0.0021760642887833,184.0108692441835,3690.0,407.0,1084.0,447.5351886441893
sr_P301LandS320F_10,519.8529663085938,617.115966796875,519.8529663085938,576.6072998046875,602.5840454101562,1.6439782300317154,1.1738884438228712,0.8670782858315583,0.0020531404697675,162.78820596099706,3905.0,270.0,150.0,911.1190652763212
sr_P301LandS320F_11,29.10094451904297,44.11085510253906,27.04965591430664,33.604209899902344,44.75640106201172,1.6070081453735063,1.554443191091281,0.6654520588377728,0.0021513505642857,102.15674231297707,3311.0,349.0,489.0,62.66173147111333
sr_P301LandS320F_12,72.38227844238281,122.6554718017578,72.38227844238281,119.37517547607422,134.6024627685547,1.953129318233132,1.5617370184692363,0.4918576225860969,0.0019356882231267,62.48199740725323,4784.0,581.0,1669.0,211.45337499362148
sr_P301LandS320F_13,1177.663330078125,2135.781494140625,1042.4012451171875,1520.898193359375,1418.91943359375,1.9699637460260448,1.3763041242697782,0.7447468530509093,0.0025081456952432,127.26350615946428,2139.0,10.0,248.0,2626.650774470578
sr_P301LandS320F_14,87.80949401855469,154.86746215820312,87.80949401855469,120.31316375732422,180.9820709228516,2.282176684825877,1.5091886032664072,0.5989582092505262,0.0,34.40930106817051,662.0,53.0,107.0,252.1044718522301
sr_P301LandS320F_15,75.83895111083984,111.3094711303711,75.83895111083984,104.8826141357422,139.3907012939453,1.729314433176175,1.514495395994585,0.6111355624058031,0.0018940478350276,52.3450093132096,3213.0,359.0,1292.0,195.5759300603167
sr_P301LandS320F_16,593.4368286132812,1426.659912109375,593.4368286132812,1107.9832763671875,728.076416015625,2.1003330410700563,1.1877132150814131,0.5550556595904639,0.0,43.26661530556788,1823.0,0.0,0.0,1430.013518327213
sr_P301LandS320F_17,428.2291564941406,664.8638916015625,371.0414123535156,609.4891967773438,584.0525512695312,1.8260169218662836,1.4402458899037207,0.6062265876338707,0.0021508528868159,153.1012736720371,4712.0,95.0,1155.0,1004.880676655286
sr_P301LandS320F_18,334.811279296875,777.3789672851562,334.811279296875,592.709228515625,450.5894470214844,2.1812930205782672,1.25845804280517,0.531037800019666,0.002428224627688,59.22837157984339,4927.0,79.0,247.0,870.1723732096287
sr_P301LandS320F_19,1331.030517578125,3726.3515625,1331.030517578125,2328.68115234375,1374.3316650390625,2.114212132282755,1.089557477282763,0.6513545836831679,0.0049690045368828,63.90618123468183,813.0,0.0,0.0,3332.224789604264
sr_P301LandS320F_2,1731.314453125,2723.96533203125,1731.314453125,2359.17919921875,2053.80224609375,1.777311449623013,1.1523229194920543,0.7253546017745901,0.0031084024421578,79.62411694957753,1778.0,1.0,341.0,3356.9223291592566
sr_P301LandS320F_20,16.791799545288086,23.722885131835938,13.961589813232422,19.58222198486328,26.485929489135746,1.7009048415866614,1.768022049326189,0.6151643593049695,0.0021340772816549,229.71286424577968,2910.0,699.0,753.0,39.3168447142704
sr_P301LandS320F_24,126.94068145751952,183.33546447753903,105.35765075683594,188.17398071289065,184.95347595214844,1.7309375306562471,1.6177143485404424,0.5583227752273313,0.0018952908911935,109.17875251164944,7192.0,754.0,2528.0,329.9493070491596
sr_P301LandS320F_25,135.4800262451172,319.411865234375,135.4800262451172,242.2027740478516,186.0795440673828,2.198212988028773,1.23335704885883,0.5419741700838773,0.0,63.56099432828282,3228.0,30.0,528.0,389.2227912705317
sr_P301LandS320F_26,186.5306854248047,251.7250518798828,186.5306854248047,249.0394592285156,266.5990905761719,1.5143768955547938,1.258261970283009,0.6351295297211527,0.0022331223576288,76.96752561957543,2424.0,202.0,292.0,406.72414815422087
sr_P301LandS320F_27,1114.0377197265625,1549.57666015625,1114.0377197265625,1216.0709228515625,1362.885009765625,1.8386162636423304,1.2699444248130922,0.9408220509721948,0.0022238189852463,148.66068747318505,3785.0,126.0,0.0,1999.853093467504
sr_P301LandS320F_28,5293.55322265625,5702.6806640625,5293.55322265625,5935.78759765625,5451.59716796875,1.5003853285795434,1.0740478196252687,0.8810672040868872,0.0023752190306143,72.80109889280519,1495.0,13.0,110.0,8021.89999069161
sr_P301LandS320F_29,292.3229675292969,428.5279846191406,292.3229675292969,378.4046325683594,382.8218688964844,1.5268008523817167,1.2459875356075736,0.7304404236546026,0.0025201284135473,45.60701700396552,2863.0,152.0,125.0,585.7147083282249
sr_P301LandS320F_3,1445.3433837890625,2065.185302734375,1445.3433837890625,1932.279541015625,1692.1864013671875,1.721487238601085,1.1510561471875396,0.7375574796334604,0.0021169935756336,46.04345773288535,3221.0,193.0,1498.0,2715.419347048836
sr_P301LandS320F_30,1517.008056640625,2175.36572265625,1517.008056640625,1638.5849609375,1750.2513427734375,1.6662983435759915,1.1774545296458323,0.8655287280986429,0.0024569874128981,134.7145129523913,2385.0,100.0,54.0,2595.9408580098257
sr_P301LandS320F_31,2240.865478515625,3187.9287109375,2240.865478515625,2449.53125,2686.234130859375,1.7142496828061915,1.212482969864128,0.8556068093100205,0.00207667764554,68.26419266350405,3952.0,233.0,502.0,3719.565472970259
sr_P301LandS320F_32,659.5941772460938,817.2261962890625,659.5941772460938,939.3668823242188,785.8876953125,1.4079841235167043,1.1600506570183449,0.6481027316481018,0.0024845342940147,76.57675887630658,2487.0,18.0,275.0,1298.0793140290782
sr_P301LandS320F_33,165.7715301513672,278.1160583496094,141.10443115234375,259.1780700683594,267.0495300292969,2.050237065715734,1.5982233962502608,0.5178546077472321,0.0021182210390129,82.87339742040264,3775.0,345.0,2045.0,477.7152847430575
sr_P301LandS320F_34,26.52593994140625,42.8396110534668,24.221288681030277,38.90010070800781,56.79714584350586,1.7792561550291015,1.814851973798814,0.5321298203491104,0.0018391283419236,36.87817782917155,3925.0,611.0,1115.0,75.16033815555896
sr_P301LandS320F_36,303.3746337890625,391.9880065917969,303.3746337890625,368.8782348632813,422.2960510253906,1.5518210499925715,1.247605668615286,0.6899359011184013,0.0026865957550344,55.46169849544819,1439.0,155.0,527.0,606.6685551722953
sr_P301LandS320F_37,275.2033996582031,531.42578125,275.2033996582031,380.962890625,413.5688171386719,0.0,1.2631696082815704,0.5809312115916524,0.0025422784064917,203.06649157357305,2160.0,147.0,226.0,839.5098929840769
sr_P301LandS320F_38,59.28305816650391,84.06956481933594,59.28305816650391,84.57185363769531,104.91451263427734,0.0,1.4936011237130156,0.5469803407650239,0.0018280526584588,108.07404868885035,5881.0,867.0,1541.0,154.10747186038836
sr_P301LandS320F_39,102.5688934326172,166.27134704589844,102.5688934326172,162.92300415039062,177.30821228027344,0.0,1.4866234598454957,0.5155815699988614,0.0020572793622937,72.02777242147643,5368.0,600.0,2251.0,292.7497243526324
sr_P301LandS320F_4,110.91022491455078,163.760986328125,110.91022491455078,153.45372009277344,171.33644104003906,1.5857905572048738,1.3172864833744684,0.5901778785630677,0.0021601479799783,194.8332620473209,3949.0,410.0,753.0,290.4626413616438
sr_P301LandS320F_40,57.800662994384766,80.13878631591797,57.800662994384766,88.86500549316406,99.76048278808594,0.0,1.515448587481148,0.5236705813519378,0.0017523776116911,70.71067811865476,6786.0,999.0,2281.0,145.5545918903347
sr_P301LandS320F_42,294.0262451171875,756.1068115234375,294.0262451171875,687.606689453125,403.11663818359375,2.6242598905604115,1.26534969810901,0.4923586130227273,0.0,26.0,2177.0,0.0,130.0,895.1379239564931
sr_P301LandS320F_43,202.5406036376953,283.6905212402344,169.54393005371094,268.90576171875,301.7816772460937,1.7191737408390948,1.513282731590069,0.6668881695032489,0.0021855641322987,86.55634003352961,3091.0,233.0,708.0,451.9861435043443
sr_P301LandS320F_45,786.6033935546875,1787.271728515625,786.6033935546875,1149.3277587890625,902.7216186523438,0.0,1.0728047108310346,0.6391405565064114,0.0,46.51881339845203,916.0,11.0,66.0,1963.067550029527
sr_P301LandS320F_46,696.21728515625,868.6443481445312,696.21728515625,779.1905517578125,980.9840087890624,1.5825528502313546,1.2531950172804172,0.8535007164118187,0.0026549044666387,120.74767078498864,2062.0,211.0,576.0,1245.3083024029484
sr_P301LandS320F_47,65.16754913330078,97.95491027832033,65.16754913330078,92.10651397705078,118.536865234375,0.0,1.5302614565508263,0.5708607667366213,0.0018636335850525,54.91812087098393,3802.0,568.0,1662.0,169.33979114700134
sr_P301LandS320F_48,1366.955810546875,1851.1573486328125,1147.651123046875,1839.854736328125,1731.974365234375,1.5605889490729443,1.4332572324589803,0.7199151786573166,0.0031217310578503,77.79460135510689,2312.0,100.0,823.0,2573.684459109073
sr_P301LandS320F_49,152.1476593017578,299.8475036621094,152.1476593017578,257.840087890625,252.021728515625,2.1075851950834057,1.3756874959042762,0.5128259250094734,0.0022821226048601,112.0,3026.0,86.0,169.0,424.2523083971879
sr_P301LandS320F_5,1550.6597900390625,2316.29541015625,1550.6597900390625,1834.0167236328125,5485.443359375,1.825084046531411,1.257430820494599,0.8065667338506612,0.0039018874645236,89.55445270895244,972.0,28.0,62.0,2933.2504792992054
sr_P301LandS320F_50,113.53157043457033,190.3853454589844,113.53157043457033,189.0443572998047,158.2466583251953,2.0165056361478486,1.210097030901806,0.4769182003985027,0.0,102.95630140987,2502.0,33.0,238.0,320.8412052974882
sr_P301LandS320F_51,1254.2078857421875,1721.991943359375,1052.4613037109375,1556.7696533203125,1570.4822998046875,1.6700639255880996,1.4288742337133309,0.782243514147924,0.0022911035806129,76.36753236814714,2834.0,108.0,443.0,2383.19541837178
sr_P301LandS320F_52,1743.291748046875,2640.4482421875,1743.291748046875,2089.282958984375,1782.7093505859375,1.77416498786628,1.0495465108027815,0.7255584306646171,0.0034798617530517,254.566297847928,752.0,2.0,187.0,3150.506304500328
sr_P301LandS320F_53,111.62985229492188,199.52581787109372,111.62985229492188,206.55728149414065,187.65724182128903,2.2593597614271954,1.4253344894287183,0.4690827887656169,0.0019688359858045,62.80127387243033,3242.0,262.0,591.0,354.57577624332777
sr_P301LandS320F_54,184.0300445556641,263.67694091796875,184.0300445556641,227.52476501464844,289.7782287597656,1.943351987813936,1.3967628290818384,0.7399551210905922,0.001881826019543,56.85068161420758,2682.0,329.0,626.0,401.3479645643404
sr_P301LandS320F_55,63.355224609375,94.96522521972656,63.355224609375,91.1044464111328,108.4966812133789,1.6934397712775164,1.464040275796553,0.5520923940133244,0.0,44.40720662234904,2447.0,340.0,1113.0,163.21256247717594
sr_P301LandS320F_56,399.75885009765625,906.9168701171876,399.75885009765625,666.7752685546875,531.5579223632812,0.0,1.2429240864352211,0.6135835261974925,0.0021016985609471,38.47076812334269,2463.0,6.0,242.0,941.463676372225
sr_P301LandS320F_57,353.11004638671875,824.4895629882812,353.11004638671875,637.8959350585938,449.9461975097656,2.008069248674978,1.203029200421218,0.5526727902713542,0.0030233066214995,60.53098380168623,2249.0,0.0,50.0,820.7949161391736
sr_P301LandS320F_58,862.54345703125,1389.5992431640625,862.54345703125,1333.3656005859375,956.9331665039062,1.845772316269176,1.0485703562142337,0.5414977516074921,0.0,31.622776601683796,400.0,3.0,0.0,2674.2067774374545
sr_P301LandS320F_6,138.30709838867188,249.40521240234372,138.30709838867188,213.4388885498047,221.9312744140625,0.0,1.3428114270571303,0.5023167024536082,0.0033892327560118,91.76055797563568,1042.0,110.0,316.0,436.0355984292401
sr_P301LandS320F_60,1697.160400390625,2391.80029296875,1697.160400390625,2091.342041015625,1929.032470703125,1.865459733906788,1.1550247864838414,0.7714244422141854,0.0023955040980874,79.64923100695951,1253.0,0.0,270.0,3044.8910809386434
sr_P301LandS320F_61,553.4290771484375,755.023681640625,525.5048217773438,868.255615234375,668.075439453125,1.452731694449302,1.297628036446469,0.6690045057719214,0.0027188315259651,35.38361202590826,3895.0,10.0,395.0,1104.4789658291982
sr_P301LandS320F_62,1745.741943359375,4474.9638671875,1745.741943359375,3304.060791015625,1822.962646484375,0.0,1.1340843422106648,0.5975204830986952,0.0032302650173311,30.59411708155671,601.0,1.0,0.0,4694.284888230482
sr_P301LandS320F_7,247.6780242919922,376.0973205566406,247.6780242919922,342.2064819335937,394.983642578125,2.039531900437491,1.3943138994203317,0.5864910690432407,0.0023120911368873,104.01922899156676,2872.0,337.0,1000.0,656.6019056064121
sr_P301LandS320F_8,200.92144775390625,290.42144775390625,200.92144775390625,248.0420684814453,309.1866455078125,1.8982328605652563,1.3831802756202212,0.6896382009656468,0.0020478908652993,218.24756585125985,3867.0,447.0,1016.0,510.4487099319974
sr_P301LandS320F_9,24.614961624145508,37.3682975769043,24.614961624145508,29.19281768798828,46.40731430053711,1.6123621367439205,1.5625414890087483,0.632450925989872,0.0020619811040084,74.0,2175.0,462.0,645.0,60.322736937541336
sr_P301SandS320F_1,668.0001831054688,2020.7672119140625,668.0001831054688,822.3947143554688,811.2408447265625,0.0,1.1755381576805732,0.6721516206532052,0.0,117.04699910719626,659.0,0.0,0.0,1467.755861040738
sr_P301SandS320F_10,21.150739669799805,21.29933357238769,21.150739669799805,22.339284896850582,22.03874397277832,1.4565637199885426,1.1027427971446908,0.5484534881471462,0.0,778.0642646979746,1603.0,1236.0,0.0,38.47958850576543
sr_P301SandS320F_11,419.6089172363281,573.5802001953125,419.6089172363281,555.9173583984375,535.458251953125,0.0,1.2067524161069585,0.686899391440483,0.0027762217592978,142.04224723651762,2902.0,186.0,454.0,948.5033949119736
sr_P301SandS320F_12,61.364524841308594,73.42350769042969,61.364524841308594,73.57113647460938,92.3718490600586,1.775816441366088,1.4262546448571811,0.733664653217892,0.0016597731866031,118.92854997854803,3898.0,519.0,224.0,131.03432357461736
sr_P301SandS320F_13,629.0609741210938,708.9253540039062,629.0609741210938,758.2935180664062,736.5872192382812,1.472897251598253,1.163116217022446,0.7100927309201286,0.0025034274728661,64.28063471995279,2093.0,139.0,0.0,1080.571652366639
sr_P301SandS320F_14,654.7564086914062,1305.799072265625,654.7564086914062,904.7759399414062,698.1122436523438,0.0,1.0978590689263228,0.6644284133472598,0.0,45.34313619501854,525.0,0.0,0.0,1764.6330125368231
sr_P301SandS320F_15,797.5422973632812,1027.304443359375,797.5422973632812,935.52490234375,950.1322021484376,1.5715612959230072,1.1793055799556622,0.7117334768157004,0.0030739127700202,111.08555261599052,2138.0,256.0,266.0,1436.4951383662549
sr_P301SandS320F_16,191.90643310546875,297.772705078125,191.90643310546875,246.86019897460935,264.750732421875,2.653702634577933,1.5094569515417111,0.9632947728421766,0.0017129378375433,106.82696288858914,4646.0,285.0,0.0,435.078389056345
sr_P301SandS320F_17,637.2421875,840.4915161132812,637.2421875,856.0300903320312,821.6691284179688,1.6321301473359484,1.3000209949898365,0.7346465309599836,0.0023651950174036,56.356011214421486,3701.0,198.0,433.0,1175.0499279900257
sr_P301SandS320F_18,443.2069091796875,692.12060546875,443.2069091796875,647.1448364257812,539.3990478515625,0.0,1.2019649653478124,0.666167145148616,0.0026052735164014,65.7875368135941,2619.0,43.0,0.0,936.1505085212336
