feature,n_genes,genes
code_cytoplasmic_tau_percolation_threshold_span,6,ADORA2A;C19ORF47;CDKN2D;MANF;RRN3;TLCD4
code_cytoplasmic_tau_phase_congruency_density,4,CCP110;LRRN3;SLC41A1;SYAP1
code_cytoplasmic_tau_radial_enrichment_bandwidth,5,DAGLB;KAT6A;PHF21A;PIAS2;THTPA
code_cytoplasmic_tau_radial_peak_prominence,4,ASH1L;C17ORF49;MYO6;TSR2
code_cytoplasmic_tau_radial_transition_total_variation,11,CCSER2;CUEDC2;EMC4;F8A1;MARCHF6;PTPN2;RPL36;SNRPB2;TNNI3;TTC5;UQCRH
code_cytoplasmic_tau_rank_variogram_slope,7,AADAT;ANKRD12;BTN2A2;CORO1A;NPIPB5;NXF1;PABPC1L
code_cytoplasmic_tau_rof_residual_fraction,9,AADAT;KCNJ8;MIGA1;NPIPB5;NXF1;PABPC1L;PAXBP1;TTC21B;ZNF275
code_cytoplasmic_tau_smooth_haze_fraction,6,AADAT;KCNJ8;NXF1;PAXBP1;STAT2;ZNF140
code_cytoplasmic_tau_structure_tensor_radial_alignment,16,AADAT;AIMP1;BSDC1;BTD;GOLGA8A;MIGA1;MTPN;NPIPB5;PAXBP1;RNPC3;STAT2;TMEM167B;TRAF2;UBE2Q1;ZNF140;ZNF275
code_cytoplasmic_tau_threshold_largest_component_auc,3,DROSHA;NXF1;SNX24
code_cytoplasmic_tau_upper_tail_contrast,4,EIF3K;KCNJ8;MSL1;STAT2
code_cytoplasmic_tau_void_size_entropy,2,HSD17B11;UTP15
code_cytosolic_tau_log_blob_scale_cv,4,C19ORF47;COX8A;FBLIM1;FOXN3
code_cytosolic_tau_puncta_spacing_mad_ratio,6,ADORA2A;FAAP100;GNG12;GPKOW;RGS2;ZNF581
code_dominant_aggregate_area_occupancy,10,ARG2;DNAJC19;EFCAB10;JAM3;KLHDC3;NNT;SERTAD2;ST6GALNAC3;ZIM2;ZNF592
code_droplet_boundary_tau_gradient_enrichment,3,KNOP1;NDUFB1;NNT
code_droplet_tau_asymmetric_cap_fraction,5,KNOP1;NDUFB1;NNT;PSMA6;SIGMAR1
code_droplet_tau_centroid_offset_index,4,KNOP1;NDUFB1;NNT;ZNF592
code_droplet_tau_fraction_of_cell_signal,5,KNOP1;NDUFB1;NNT;PSMA6;TIMM8B
code_droplet_tau_hotspot_proximity_index,4,KNOP1;NDUFB1;NNT;ZNF592
code_droplet_tau_recruitment_contrast,5,KNOP1;NDUFB1;NNT;PSMA6;ZNF592
code_extracellular_tau_aggregate_burden_fraction,1,SYAP1
code_extracellular_tau_skeleton_complexity_index,2,CTBP1;NDUFAF8
code_filament_bundle_orientation_coherence,3,DVL2;GABPB1;LARP1B
code_filament_bundle_skeleton_length_density,21,ARFGEF2;ARHGAP39;BMPR1B;CPVL;DAG1;DNAJC19;DZIP3;EGLN2;HSPA4;HUS1;JAM3;LTBP3;NCLN;NLGN3;SERTAD2;SLC20A2;SNHG4;ST6GALNAC3;TTC7A;UIMC1;ZIM2
code_filament_curvature_tau_intensity_coupling,3,GAL;MAP2K2;NOMO3
code_filament_radial_orientation_bias,4,API5;CLGN;PCDHGC3;ZNF304
code_filament_skeleton_tau_continuity,14,AADAT;EGLN2;GALNT7;HDHD3;MICAL1;MIGA1;MIR9-3HG;MTMR3;PAXBP1;SLC20A2;TCEAL1;TMEM167B;ZNF275;ZNF667-AS1
code_filament_skeleton_tortuosity,23,AADAT;APPL2;CTC1;EGLN2;GALNT7;LMBRD2;MICAL1;MIGA1;MIR9-3HG;MTMR3;NLGN3;NT5C2;PAXBP1;RAB11FIP1;RAPGEF6;SLC20A2;SNHG4;TCEAL1;TMEM167B;TTC21B;WASHC2A;ZNF275;ZNF667-AS1
code_filament_tau_beadiness_cv,3,GALNT7;MIGA1;ZNF275
code_filament_tau_beading_coefficient,4,CCP110;CPVL;SYAP1;ZDHHC4
code_filament_tau_loading_heterogeneity_index,2,CEPT1;TAF1A
code_filament_tau_longitudinal_autocorrelation_peak,6,AKAP12;ANKRD12;BTD;CORO1A;NXF1;ZNF275
code_filament_tau_skeleton_gap_fraction,9,ARHGEF26;B4GALT5;GTF2H1;KNOP1;LMNTD1;MICAL1;NARS1;SERTAD2;ZNF275
code_filament_tau_transverse_decay_slope,6,C6ORF62;CCP110;LRRN3;MLX;PEG10;TLE5
code_high_tau_area_fraction_in_cell,15,AADAT;ADORA2A;ARHGAP12;BORCS8;C1ORF112;CDKN2D;CRYZ;EPHX1;ETAA1;GPKOW;KCNJ8;POFUT1;RPP25;SNHG4;USB1
code_high_tau_centroid_delaunay_length_cv,7,BTD;MIGA1;MIR9-3HG;PAXBP1;RPS16;SOX12;ZNF140
code_high_tau_component_boundary_distance_skew,2,GTPBP10;STYX
code_high_tau_component_boundary_rugosity,7,CALCB;CRYZ;DUS4L-BCAP29;EPHX1;ETAA1;MANF;SERPINH1
code_high_tau_component_contour_curvature_skewness,2,CCP110;METRNL
code_high_tau_component_crowding_inverse_distance,1,ZNF592
code_high_tau_component_radial_size_sorting,2,LRP8;ZNF275
code_high_tau_component_solidity_weighted_mean,5,DERPC;DROSHA;EHBP1;SSH2;ZNF592
code_high_tau_object_shape_intensity_correlation,2,SPOPL;TSPAN31
code_intensity_weighted_aggregate_eccentricity,3,HBS1L;SERTAD2;ZIM2
code_nuclear_boundary_tau_gradient_peak,3,ACAT1;ADCYAP1R1;SERPINA5
code_nuclear_cytoplasm_tau_interface_contrast_cv,1,SCYL2
code_nuclear_exclusion_front_sharpness_cv,3,ENOX2;LINC01409;ORC4
code_nuclear_ring_tau_azimuthal_heterogeneity,8,CMTR2;HBS1L;NPIPB5;PRRC2C;STAT2;TCEAL1;TMEM167B;USB1
code_nuclear_tau_aggregate_contact_arc_fraction,4,BTN2A2;CORO1A;NXF1;TCEAL1
code_nuclear_tau_boundary_patch_fragmentation,7,APPL2;CEPT1;NPIPB5;RAE1;TRIM3;USB1;ZNF536
code_nuclear_tau_exclusion_index,1,OBI1
code_nucleus_to_edge_tau_onoff_transition_density,4,AP2A2;CTBP1;NXF1;SNX24
code_pericellular_tau_contact_fraction,2,EIF3K;EPHX1
code_perinuclear_low_tau_crescent_eccentricity,1,TSPAN31
code_perinuclear_tau_annular_gap_length_cv,4,CHD6;SLC39A11;SPPL2A;TMEM51
code_perinuclear_tau_annulus_radial_phase_lag,4,COX20;GSTM2;PABPC1L;POFUT1
code_perinuclear_tau_cap_angular_sharpness,5,C19ORF47;CEP152;DHX15;RNPC3;TMEM25
code_perinuclear_tau_cap_resultant_strength,5,ACTG1;IGFBP4;PABPC1L;SNRPC;VCL
code_perinuclear_tau_closing_gap_recovery,1,TTC21B
code_perinuclear_tau_enrichment_ratio,3,FAAP100;TLCD4;ZSWIM3
code_perinuclear_tau_ring_width_halfmax,2,MCEE;ZSWIM3
code_perinuclear_tau_shadow_sector_fraction,2,PNMA8C;TSC22D2
code_perinuclear_tau_shell_angular_mad,7,CMTR2;FBXO30;HBS1L;MLST8;PLA2G12A;SNX24;TCEAL1
code_perinuclear_tau_shell_enrichment,1,NLGN3
code_perinuclear_tau_signal_fraction,1,PRMT3
code_radial_tau_distribution_entropy,19,BTD;CEPT1;CRYZ;ETAA1;IWS1;KIF16B;KLHL7;NPRL3;PAXBP1;PDCD6IP;PDGFRA;PGGT1B;RPL39;RPS16;RPS29;RPS3;TMF1;UQCRH;ZNF140
code_robust_high_tau_area_fraction,15,AADAT;ADORA2A;ARHGAP12;BORCS8;C1ORF112;CDKN2D;CRYZ;EPHX1;ETAA1;GPKOW;KCNJ8;POFUT1;RPP25;SNHG4;USB1
code_segmented_aggregate_tau_fraction,13,ARG2;DNAJC19;EFCAB10;JAM3;KCNJ8;KLHDC3;NECAB2;NNT;SERTAD2;ST6GALNAC3;UIMC1;ZIM2;ZNF592
