feature,n_genes,genes
vlm_droplet_size_gradient_along_filaments_score,6,ARHGEF1;MED9;MON1A;SRP68;THTPA;TTC21B
vlm_droplet_size_radial_sorting_score,11,APBB1;C1ORF21;DHX15;MED9;MON1A;PDXDC1;PPT2-EGFL8;RXRB;TNKS2;ZNF439;ZNF71
vlm_droplet_size_rim_brightness_order_score,3,AGBL5;MAPK6;SERPINA5
vlm_droplet_string_spacing_regularity_score,4,GALNT7;MED9;SRP68;ZNF439
vlm_droplet_tau_rim_core_inversion_score,5,CXXC1;MICAL1;MSL1;NUDT2;ZNF275
vlm_extracellular_ghost_tangle_likelihood,1,CHERP
vlm_extracellular_orphan_tau_deposit_score,1,ANXA4
vlm_extracellular_tau_remnant_score,3,CHERP;MAIP1;ZMIZ2
vlm_filament_bend_brightness_coupling_score,8,DNAJC19;EFCAB10;H4C12;HAUS3;PABPC1L;STON1;ZIM2;ZNF439
vlm_filament_bundle_contact_angle_diversity_score,7,ADAR;PDGFRA;PSMD3;RAD54L2;TMEM167B;ZBED3;ZIM2
vlm_filament_bundle_disorganization_score,4,H1-2;SCAND1;TCEAL1;ZBED3
vlm_filament_bundle_entry_splay_score,5,ITPRIP;MICAL1;SCAND1;TMEM167B;ZIM2
vlm_filament_bundle_hierarchical_fasciculation_score,6,DAG1;H1-2;MICAL1;SCAND1;ZBED3;ZIM2
vlm_filament_bundle_merge_zone_fuzziness_score,3,SCAND1;SUSD1;ZIM2
vlm_filament_bundle_partition_score,1,CREB5
vlm_filament_cell_span_fraction_score,9,CUEDC2;CXXC1;ITPRIP;MICAL1;PDGFRA;SOX12;TMEM167B;UBE2Q1;ZIM2
vlm_filament_crossing_complexity_score,5,CMTR2;MAB21L1;SCAND1;STAT2;ZIM2
vlm_filament_endpoint_fraying_score,5,B3GAT3;H1-2;IGSF10;ZIM2;ZNF738
vlm_filament_intersection_brightness_node_score,4,ARHGEF1;DNAJC1;HINT3;THTPA
vlm_filament_length_scale_bimodality_score,2,TMEM167B;ZIM2
vlm_filament_loop_area_polydispersity_score,5,CUEDC2;DNAJC1;ETFB;RAB30-DT;SCAND1
vlm_filament_midshaft_intensity_pulsing_score,8,DNAJA1;H1-2;MICAL1;STAT2;TCEAL1;YIPF6;ZBED3;ZIM2
vlm_filament_network_cycle_density_score,3,IGFBP4;RSBN1L;TSEN54
vlm_filament_nuclear_tangential_wrapping_score,12,ADD3;APPL2;EHBP1;EOLA1;MYCBP2;NXF1;PABPC1L;RAB1B;RSBN1L;SNAPC4;TBC1D15;UBE3A
vlm_filament_orientation_coherence_score,3,NFAT5;VAMP7;ZNF738
vlm_filament_radial_spoke_alignment_score,29,ACIN1;ADD3;AHCTF1;ARHGEF1;ATAT1;CARD9;CD200;CDK13;CXXC1;DDX49;GTPBP10;HDX;KLF6;KLHL7;NPRL3;PAXBP1-AS1;POLL;PREP;PSMD3;RAD54L2;RIOK2;SIMC1;SLC35E2B;STAU1;TACC1;TAPBP;TPRG1L;TSPAN14;ZNF71
vlm_filament_short_gap_reconnection_score,6,H1-2;MICAL1;POFUT1;TCEAL1;TMEM167B;ZIM2
vlm_filament_tip_brightness_taper_score,6,DCAF7;EMC4;JAM3;NLGN3;PDGFRA;TSC22D2
vlm_filament_to_bundle_orientation_mismatch_score,6,ARHGEF1;GSTA4;HINT3;PON2;STAU1;TCEAL1
vlm_filament_to_bundle_transition_score,8,ARHGEF1;CMTR2;ITPRIP;MICAL1;PANK3;TMEM167B;ZBED3;ZIM2
vlm_intracellular_tau_heterogeneity_score,5,MYO6;PIGN;PITPNA;PSMD3;RUSC2
vlm_large_tau_inclusion_prominence_score,6,C12ORF75;DOK6;IRF1;ITPRIP;LTBP4;TMEM167B
vlm_neurite_aggregate_comet_tail_orientation_score,2,RBMS1;ZNF696
vlm_neurite_bead_size_distance_trend_score,9,ADD3;API5;LTBP3;PGRMC1;PIAS2;PON2;SIMC1;TUBGCP5;ZNF439
vlm_neurite_beading_fragmentation_score,5,ACAA1;ANKRD12;GALNT7;LINC00581;PIGN
vlm_neurite_shaft_tau_swelling_score,1,IQCK
vlm_neurite_tau_phase_slip_banding_score,8,CCSER2;DGCR6;H1-2;LINC02268;MRPL39;NBPF20;RANBP6;ZNF738
vlm_neurite_tau_taper_mismatch_score,3,IQCK;OBI1;ZIM2
vlm_nuclear_bipolar_tau_cap_score,14,ADD3;APPL2;ATG4B;CNEP1R1;CTU2;CXXC1;DNAJC9;MFN2;MRTFB;NTS;PABPC1L;PPP1R8;RAB11FIP1;RNF167
vlm_nuclear_boundary_tau_contact_pressure_score,7,ANKRD7;APPL2;ATG4B;LZTS1;MAPK6;PABPC1L;TRIM26
vlm_nuclear_cell_axis_mirror_tau_asymmetry_score,3,NDUFB1;NIPAL2;ZNF32
vlm_nuclear_clearance_shadow_orientation_score,16,ADAM9;ADD3;ANKRD7;APPL2;B4GALT4;CORO1A;CTU2;FBP1;INPP1;LMBRD2;NLGN3;NUDT2;OSBPL3;PPP1R8;RARB;ZNF275
vlm_nuclear_displacement_by_tau_inclusion_score,6,ARHGAP31;CTSA;RBPMS2;STYX;TSPAN10;TXLNA
vlm_nuclear_displacement_by_tau_mass_score,13,ADAM9;B4GALT4;DLEU2;FASN;FBXO44;HOXD8;KLF11;LINC02256;NLGN3;OSBPL3;SRFBP1;TMEM167B;ZNF232
vlm_nuclear_proximity_tau_object_size_gradient_score,10,C1ORF21;FOXN3;HDGF;LARP1B;MAPK6;METRNL;MKNK1;MRPL19;NELFA;SPRY1
vlm_nuclear_tau_exclusion_clarity_score,6,ANKRD7;ATG4B;CHKB;CORO1A;PABPC1L;RAB11FIP1
vlm_nuclear_tau_gap_peninsula_ruggedness_score,6,ATG4B;FASN;LINC02256;LZTS1;TMEM131L;TMEM167B
vlm_nuclear_tau_intrusion_score,3,ATF7IP2;PCNX3;TVP23B
vlm_nucleus_adjacent_tau_void_penetration_score,8,ADAM9;ANKRD7;DLEU2;LINC02256;TBC1D15;TMEM167B;TXLNA;ZNF232
vlm_nucleus_aggregate_axis_torque_score,17,ADAM9;ANKRD7;ATG4B;B4GALT4;CTU2;FASN;LINC02256;MIGA1;NUDT2;OSBPL3;PABPC1L;PFKFB3;RECQL;RNF167;SUGP1;TMEM131L;TMEM167B
vlm_nucleus_cell_axis_tau_projection_score,2,CLUAP1;NOTCH2NLB
vlm_nucleus_cytoplasm_area_balance_score,19,ADAM9;ADD3;ANKRD7;APPL2;BSDC1;BTD;DLEU2;FASN;LINC02256;LZTS1;MIR9-3HG;NCLN;OSBPL3;POMGNT2;TIMM29;TMEM167B;TMEM25;TP53I11;TRIM26
vlm_nucleus_to_edge_tau_clearance_asymmetry_score,5,CORO1A;LMBRD2;MTPN;RBPMS2;TSPAN10
vlm_perinuclear_cytoplasm_thickness_imbalance_score,10,CLUAP1;DLEU2;FASN;FBXO44;LINC02256;LTK;NOTCH2NLB;SH3RF1;TMEM131L;TMEM167B
vlm_perinuclear_tau_band_width_irregularity_score,9,ADAM9;APPL2;ATG4B;CHKB;CTU2;FASN;PABPC1L;SRFBP1;TBC1D15
vlm_perinuclear_tau_crescent_bias_score,15,ABCD3;ADAM9;ANKRD7;APOO;CLUAP1;CREB3;LZTS1;PABPC1L;RAB11FIP1;RNF167;SRFBP1;TBC1D15;THEM6;TRIM26;YIPF6
vlm_perinuclear_tau_crowding_score,5,ATG4B;CORO1A;DDI2;MSL1;UBE2Q1
vlm_perinuclear_tau_enrichment_score,10,AADAT;ANKRD7;B4GALT4;CORO1A;DLEU2;FASN;MSL1;OSBPL3;TMEM131L;TMEM167B
vlm_perinuclear_tau_ring_completeness_score,12,AADAT;APPL2;CORO1A;CTU2;MIGA1;MIR9-3HG;NXF1;PABPC1L;PFKFB3;TMEM167B;TRIM26;ZNF275
vlm_perinuclear_tau_sector_compaction_score,6,ADAM9;ANKRD7;MAP2K2;TIMM29;TMEM131L;TMEM167B
vlm_perinuclear_tau_sector_edge_synchrony_score,11,AADAT;ADAM9;ANKRD7;OSBPL3;PABPC1L;PFKFB3;RAB11FIP1;TMEM131L;TMEM167B;ZMYND8;ZNF275
vlm_perinuclear_to_peripheral_grain_size_transition_score,1,PABPC1L
vlm_proximal_neurite_tau_choke_point_score,10,ARFGEF2;BORCS8;KLHL20;MIGA1;MTPN;NLGN3;NUDT2;SOX12;TMEM167B;TRAF2
vlm_punctate_tau_condensate_burden_score,3,ANKRD12;CRK;PPT2-EGFL8
vlm_punctate_to_filamentous_tau_balance,9,CCSER2;H1-2;ITPRIP;MSL1;RAB30-DT;SCAND1;SYAP1;ZIM2;ZNF738
vlm_radial_tau_corridor_alignment_score,2,ARHGEF26;SYAP1
vlm_reticular_honeycomb_soma_score,3,PON2;RAB30-DT;RUSC2
vlm_reticular_honeycomb_tau_pattern_score,3,FOXN3;PON2;RIOK2
vlm_reticular_mesh_wall_thickness_cv_score,2,PLEKHG2;ZNF614
vlm_reticular_pore_coalescence_front_asymmetry_score,3,B4GALNT1;ETFB;TBC1D15
vlm_round_to_fibrillar_transition_front_score,1,USP46
vlm_soma_dominant_tau_visual_score,5,FASN;IRF1;ITPRIP;KLF11;PCNX3
vlm_soma_edge_tau_leakage_score,4,CANT1;H1-2;SPTY2D1;SUSD1
vlm_soma_neurite_texture_transition_abruptness_score,9,COX20;DHX15;NOC3L;PPT2;SELENOT;TAF13;TVP23B;UQCRC2;WBP1
vlm_soma_process_tau_blending_score,9,ARHGEF26;DICER1-AS1;FBXO30;ITPRIP;NFIL3;NUDT2;TMEM108-AS1;UBE2Q1;ZIM2
vlm_somatic_dark_pore_rim_enhancement_score,7,AADAT;ANKRD7;CORO1A;NXF1;PFKFB3;RNPC3;TSPAN31
vlm_somatic_diffuse_tau_haze_score,3,IRF1;MTMR3;TMEM131L
vlm_somatic_fibril_counterflow_domain_score,5,ACLY;CBX2;CMTR2;DDX20;ZBED3
vlm_somatic_fibril_spiral_pitch_variability_score,4,LRRN3;NPRL3;PABPC1L;PLEKHG2
vlm_somatic_fibril_swirl_directionality_score,5,EIF3K;MAP2K2;PABPC1L;PLEKHG2;ZMYND8
vlm_somatic_fibril_vortex_center_offset_score,4,ACLY;CHMP3;DDX20;PABPC1L
vlm_somatic_honeycomb_mesh_score,4,FBXO30;PON2;TSC22D2;ZBED3
vlm_somatic_inclusion_edge_crispness_score,2,CD320;SNRPC
vlm_somatic_inclusion_severity_visual,3,MAP2K2;VAMP7;XAB2
vlm_somatic_multifocal_seed_burden_score,13,ANKRD12;CLASRP;IGBP1;NT5C2;PIGN;PPT2-EGFL8;RELL2;RIOK2;SEC24D;THOC1;TSR2;WBP11;ZNF536
vlm_somatic_puncta_radial_bias_score,5,ADAM9;ARMCX5-GPRASP2;CHEK2;CNEP1R1;MSL1
vlm_somatic_reticular_pore_radial_maturation_score,3,IRF1;PABPC1L;PON2
vlm_somatic_tau_dominance_score,5,AADAT;CALCB;IRF1;ITPRIP;NARS1
vlm_somatic_tau_lamellar_onion_skin_score,5,BSDC1;MSL1;PABPC1L;SREBF2;TMEM167B
vlm_somatic_tau_microgranule_density_score,2,FNTA;SYAP1
vlm_somatic_tau_patch_domain_scale_score,3,FBLIM1;H1-2;PCNX3
vlm_somatic_tau_texture_scale_mixing_score,3,FCGRT;ZNF71;ZNRF2
vlm_stress_granule_like_tau_puncta_uniformity_score,3,CRK;SYAP1;ZSCAN22
vlm_tau_aggregate_depletion_halo_score,6,COX20;CREB5;EIF3K;LAMTOR5;MYG1;UBE2Q1
vlm_tau_aggregate_morphotype_complexity,7,ARHGEF1;DUS4L-BCAP29;H1-2;MKRN2;PDGFRA;SCAND1;UAP1
vlm_tau_bright_mass_compaction_index,7,ITPRIP;NECAB2;PCNX3;PRKRA;SERTAD2;TAF1A;ZIM2
vlm_tau_compartment_mislocalization_visual,5,KLF11;MAP2K2;MFSD6;MIGA1;ZNF232
vlm_tau_condensate_core_shell_contrast_score,8,CXXC1;ITPRIP;MICAL1;MSL1;TMEM167B;UBE2Q1;ZIM2;ZNF275
vlm_tau_condensate_shell_thickness_heterogeneity_score,8,ARHGEF26;B4GALT5;BSDC1;CS;GOLGA8A;MIGA1;NXF1;TRIM26
vlm_tau_cytoplasmic_lacunarity_index,8,ASAH2B;CMTR2;MAB21L1;PANK3;SOX12;STAT2;TNKS2;TSC22D2
vlm_tau_domain_edge_softness_heterogeneity_score,5,C2ORF76;DARS2;KLHL7;RPP25;SNHG1
vlm_tau_free_cytoplasmic_corridor_continuity_score,3,GATD1;LINC02268;ZNF717
vlm_tau_gap_skip_pattern_severity_score,1,ARHGEF1
vlm_tau_hotspot_radial_dispersion_score,9,AIMP1;ITPRIP;LSM12;MRPL39;NARS1;OBI1;SERTAD2;TSR2;ZIM2
vlm_tau_mass_centroid_offcenter_score,3,HAUS3;HTT;TSPAN10
vlm_tau_object_boundary_feathering_directionality_score,6,HINT3;MKNK1;NRBP2;SCAND1;SNN;TTC7A
vlm_tau_object_boundary_interdigitation_score,3,CC2D1A;PDXDC1;THTPA
vlm_tau_object_class_local_entropy_score,5,MED9;PPT2-EGFL8;THTPA;WASHC2A;ZNF439
vlm_tau_object_edge_polarity_reversal_score,3,ABCD3;SPPL3;SRFBP1
vlm_tau_object_size_intensity_rank_discordance_score,6,CTC1;HBS1L;MRPL44;PAXBP1;POFUT2;ZNF667-AS1
vlm_tau_peak_to_haze_balance_score,6,CMTR2;ITPRIP;MSL1;MTMR3;STAT2;ZNF275
vlm_tau_positive_cell_area_utilization_score,3,GMPPA;HAUS3;TEN1-CDK3
vlm_tau_puncta_perinuclear_sg_clustering_score,2,MSL1;PPT2-EGFL8
vlm_tau_radial_shell_gradient_score,13,AADAT;APPL2;EOLA1;MIR9-3HG;POMGNT2;RAB11FIP1;RAD54L2;RAE1;RELL2;RNPC3;SUGP1;TRIM26;TRIR
vlm_tau_structure_compartmental_segregation_score,2,PDGFRB;SNHG4
vlm_tau_void_partitioning_barrier_score,9,ABCD3;ANKRD7;APPL2;MTPN;NUDT2;PEMT;RAB11FIP1;TBC1D15;ZNF816
vlm_terminal_sheet_like_tau_spread_score,2,C19ORF47;SLC35E2B
