method_key,method_display,split,R2_legacy_bar,R2_point_npz,R2_delta_legacy_minus_point,R2_ci_boot_low_raw,R2_ci_boot_high_raw,R2_ci_display_low,R2_ci_display_high,Mean_Pearson_r_legacy_bar,Mean_Pearson_r_point_npz,Mean_Pearson_r_delta_legacy_minus_point,Mean_Pearson_r_ci_boot_low_raw,Mean_Pearson_r_ci_boot_high_raw,Mean_Pearson_r_ci_display_low,Mean_Pearson_r_ci_display_high,n_bootstrap
cellprofiler,CellProfiler,random,0.096,0.0959889793896618,1.1020610338113856e-05,0.0594104038615587,0.1288184808393765,0.0594214244718968,0.1288295014497146,0.3235,0.3235296141887662,-2.9614188766180494e-05,0.2782704270911558,0.3688745318771495,0.2782408129023896,0.3688449176883833,2000
deepprofiler_old,DeepProfiler (Old),random,0.159,0.1589923218836093,7.678116390658074e-06,0.1224676488294569,0.1920500752975643,0.1224753269458476,0.1920577534139549,0.3977,0.3977212128512802,-2.121285128020567e-05,0.3589990372757611,0.4348334073788751,0.3589778244244809,0.4348121945275949,2000
deepprofiler_new,DeepProfiler (New),random,-0.0055,-0.0055043502881138,4.3502881138021005e-06,-0.018964949658815,0.0022774055601305,-0.0189605993707012,0.0022817558482443,0.0608,0.0607731646597118,2.683534028817547e-05,0.0330415239451462,0.0899001044718916,0.0330683592854343,0.0899269398121798,2000
morphagent,BPAgent,random,0.1772,0.1230372580039729,0.054162741996027,0.0891895313896905,0.1532131603620613,0.1433522733857176,0.2073759023580884,0.4218,0.3561770386487657,0.0656229613512342,0.3157421289135519,0.3954197803497469,0.3813650902647862,0.4610427417009811,2000
